profile,config_id,scenario,split,controller,alpha,seed,n,delay_bins,jobs,mean_resource_fraction,metric_status,metric_reason,p95_wait,p99_wait,selected_on_validation,weighted_event_approximation
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.03,1731,100,1,720000,0.9450347222222223,ok,,12900.052786407185,18362.284737208178,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.1,1731,100,1,720000,0.9097222222222223,ok,,13920.972114182494,19495.84118067437,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,0.3,1731,100,1,720000,0.8740277777777777,ok,,14985.000079371745,20495.829449669465,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,1.0,1731,100,1,720000,0.8298263888888888,ok,,16547.494626370546,22790.985942631556,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,3.0,1731,100,1,720000,0.7910416666666668,ok,,17562.993452955136,25576.663510557053,False,True
paper,paper-pareto-n100-d1,high_volume,validation,ewma_mf_mpc,100.0,1731,100,1,720000,0.7237152777777777,ok,,22535.881994851843,30992.92785798311,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.01,1731,100,1,720000,0.9790972222222223,ok,,13989.573156432096,19396.996030256178,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.03,1731,100,1,720000,0.6382291666666666,ok,,37953.53738244901,47084.42248798867,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.07498942093324558,1731,100,1,720000,0.5040277777777777,ok,,57020.68826310636,69433.20979513477,True,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.1,1731,100,1,720000,0.47138888888888886,ok,,65351.6277279508,75020.11755198572,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,0.3,1731,100,1,720000,0.3572222222222222,ok,,116178.77777896203,129976.75890847178,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,1.0,1731,100,1,720000,0.2604166666666667,ok,,174594.7294090345,194981.21716430617,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_mean_mf_mpc,3.0,1731,100,1,720000,0.1948611111111111,ok,,291928.3303438513,313803.0643338824,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.01,1731,100,1,720000,0.99375,ok,,12204.338787163762,18616.651639054664,False,True
