experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
delay_sensitivity,bursty,reactive,100,0,empirical,p95_response,283752.911599548,277312.55567497737,267864.1728765521,301954.2064454997,10,10
delay_sensitivity,bursty,reactive,100,0,empirical,mean_resource_fraction,0.061805555555555544,0.06180555555555555,0.061805555555555544,0.061805555555555544,10,10
delay_sensitivity,bursty,reactive,100,0,empirical,slo_violation_fraction,0.5632216630609894,0.5632483598209793,0.5617996350694501,0.5646388713417555,10,10
delay_sensitivity,bursty,reactive,100,0,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,mean_wait,195830.7081556289,196189.46083442392,190667.05291892067,200888.46162111725,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,p95_wait,540775.4205741538,541349.5296006906,522240.00508284254,559122.9974116068,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,p99_wait,558254.5437718679,557550.9763161945,539807.4736320144,576567.6169912714,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,mean_response,195877.91302951385,196236.9709932716,190713.284208704,200936.87131279905,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,p95_response,540782.8489706637,541357.3947775714,522248.8998877831,559128.658189995,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,mean_resource_fraction,0.061805555555555544,0.06180555555555555,0.061805555555555544,0.061805555555555544,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,slo_violation_fraction,0.5651093297578069,0.5653495409505072,0.5636498715037958,0.566527693940011,10,10
delay_sensitivity,bursty,reactive,100,1,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
delay_sensitivity,bursty,reactive,100,2,empirical,mean_wait,241391.24702383898,243830.16982130587,234157.30888230196,248430.96758273683,10,10
delay_sensitivity,bursty,reactive,100,2,empirical,p95_wait,606187.5813634915,617013.9512029146,583052.107563788,627184.3759449354,10,10
delay_sensitivity,bursty,reactive,100,2,empirical,p99_wait,621252.3273099216,635110.4919704327,596572.7950797833,643990.4251607325,10,10
delay_sensitivity,bursty,reactive,100,2,empirical,mean_response,241438.45189772392,243877.72324158275,234203.33559910263,248479.03171788383,10,10
delay_sensitivity,bursty,reactive,100,2,empirical,p95_response,606195.0642900772,617020.2660609814,583059.155097282,627192.5952535571,10,10
delay_sensitivity,bursty,reactive,100,2,empirical,mean_resource_fraction,0.061805555555555544,0.06180555555555555,0.061805555555555544,0.061805555555555544,10,10
delay_sensitivity,bursty,reactive,100,2,empirical,slo_violation_fraction,0.5627817067850668,0.562771338212641,0.5612426904879146,0.5642699577035415,10,10
