profile,config_id,experiment,scenario,controller,seed,n,delay_bins,service_model,jobs,metric_status,metric_reason,mean_wait,mean_response,p95_wait,p99_wait,p95_response,mean_resource_fraction,server_time_resource_cost,scaling_actions,mean_absolute_target_change,overload_fraction,slo_violation_fraction
paper,paper,primary,bursty,gp_ucb_mf_mpc,1731,100,1,empirical,70163,ok,,10517.09541283652,10563.16977500731,49071.17026951715,67787.45226703443,49101.70494391878,0.1237152777777777,1068900.0,65,3.240418118466899,0.0173611111111111,0.4258512321308952
paper,paper,primary,bursty,oracle_mf_mpc,1731,100,1,empirical,70163,ok,,17694.62748740262,17740.701849573412,57870.320540978384,66322.4767438245,57901.01553846143,0.0713541666666666,616500.0,14,0.940766550522648,0.0173611111111111,0.5596967062411813
paper,paper,primary,bursty,static,1732,100,1,empirical,70118,ok,,316103.0390626184,316151.9850181429,753919.1990832965,771322.8882933042,753921.6421041596,0.05,432000.0,0,0.0,0.0173611111111111,0.5680709660857411
paper,paper,primary,bursty,reactive,1732,100,1,empirical,70118,ok,,200219.243487064,200268.1894425885,549136.7202561805,567031.8570310456,549139.18882783,0.0618055555555555,534000.0,10,0.6968641114982579,0.0173611111111111,0.5638780341709689
paper,paper,primary,bursty,seasonal_mf_mpc,1732,100,1,empirical,70118,ok,,292227.5450717386,292276.4910272632,749864.907419909,771322.8882933042,749869.3543927285,0.0774305555555555,669000.0,14,0.940766550522648,0.0173611111111111,0.5316751761316638
paper,paper,primary,bursty,ewma_mf_mpc,1732,100,1,empirical,70118,ok,,128654.24117899574,128703.18713452024,420047.0567272443,438408.7871505109,420049.74926417135,0.1029861111111111,889800.0,15,0.662020905923345,0.0173611111111111,0.5492455574888045
paper,paper,primary,bursty,gp_mean_mf_mpc,1732,100,1,empirical,70118,ok,,12251.88166610578,12300.827621630318,45154.14630563551,56285.81359092841,45200.54570235052,0.1171875,1012500.0,58,3.1149825783972127,0.0173611111111111,0.4923129581562508
paper,paper,primary,bursty,gp_ucb_mf_mpc,1732,100,1,empirical,70118,ok,,8109.543252771416,8158.489208295955,42835.90396490297,57733.88209721166,42913.5547685884,0.1237152777777777,1068900.0,65,3.240418118466899,0.0173611111111111,0.4014518383296728
paper,paper,primary,bursty,oracle_mf_mpc,1732,100,1,empirical,70118,ok,,16538.644198253725,16587.590153778263,54194.76235198909,62433.360695393,54212.23233510459,0.0713541666666666,616500.0,14,0.940766550522648,0.0173611111111111,0.5585441684018368
paper,paper,primary,bursty,static,1734,100,1,empirical,70283,ok,,317434.98406169785,317483.8729405123,741574.9601960238,758955.1689926188,741588.4004443303,0.05,432000.0,0,0.0,0.0173611111111111,0.56936954882404
paper,paper,primary,bursty,reactive,1734,100,1,empirical,70283,ok,,204978.71657652213,205027.6054553365,531711.6264500099,549317.092816697,531720.7319002949,0.0618055555555555,534000.0,10,0.6968641114982579,0.0173611111111111,0.5655990780131753
